               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026107,            0.017543,                   0,             0.87674,             0.79234,             0.86736,             0.55883,            0.035362,             0.01498,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026462,            0.018433,                   0,             0.88033,             0.81088,             0.88204,             0.55495,             0.03498,            0.014794,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026673,            0.017832,                   0,             0.87208,              0.8343,             0.88811,             0.56865,            0.034973,            0.014083,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026306,            0.018138,                   0,             0.86601,             0.80694,             0.86492,             0.55028,            0.035194,            0.015178,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025748,            0.017499,                   0,             0.83672,             0.84302,              0.8697,             0.55385,              0.0342,            0.014753,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026023,            0.017153,                   0,             0.86493,             0.82447,             0.87799,             0.56858,            0.034245,            0.014443,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025212,            0.017093,                   0,             0.84168,             0.84774,             0.87446,             0.57162,            0.034416,            0.014796,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.02575,            0.017254,                   0,             0.83075,             0.86153,             0.87362,             0.55003,            0.034495,            0.014559,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025923,            0.017334,                   0,             0.87317,             0.83397,             0.87421,             0.56566,            0.034823,            0.014664,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025245,            0.016797,                   0,             0.83968,             0.85538,             0.87852,             0.56298,            0.034562,            0.014955,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024292,            0.016811,                   0,             0.84825,             0.86369,             0.88086,             0.56542,             0.03469,            0.014671,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025242,            0.017095,                   0,             0.88353,             0.79975,             0.86205,             0.56165,            0.034853,            0.015113,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024131,            0.016933,                   0,             0.86493,              0.8232,              0.8743,             0.56464,            0.034728,            0.015146,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02426,            0.016486,                   0,             0.83634,             0.84014,             0.87194,             0.56864,            0.034512,            0.015464,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024121,            0.016314,                   0,              0.8659,             0.83189,             0.87221,             0.56073,            0.034334,            0.014814,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023978,            0.017026,                   0,             0.84609,             0.83931,             0.87613,             0.56876,            0.034859,            0.015181,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023119,            0.016229,                   0,             0.88409,             0.82077,             0.87677,             0.56902,            0.035008,            0.015263,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023575,            0.016652,                   0,             0.87429,             0.82695,             0.88351,              0.5705,             0.03516,             0.01478,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023636,            0.016815,                   0,             0.84548,             0.84541,             0.88135,             0.57492,            0.034726,            0.015021,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023746,            0.016147,                   0,             0.85886,              0.8356,             0.87352,             0.56466,            0.034555,            0.015106,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022628,            0.016054,                   0,             0.84811,             0.85661,             0.88025,             0.57363,            0.034441,            0.014885,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022878,            0.015872,                   0,             0.84312,             0.83931,             0.87034,             0.55972,            0.035087,            0.015135,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023892,            0.016075,                   0,             0.88823,             0.82571,             0.87753,             0.56976,            0.034949,            0.015558,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022796,            0.015764,                   0,             0.86156,             0.82313,             0.87659,             0.57523,            0.034296,            0.015214,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022757,             0.01535,                   0,             0.87926,             0.82813,             0.88008,               0.575,            0.034412,            0.015013,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022151,            0.015685,                   0,             0.90629,             0.80094,             0.88434,             0.58041,            0.034123,            0.015351,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022651,            0.015851,                   0,             0.86951,             0.82447,             0.87631,             0.57345,            0.034275,            0.015786,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022603,            0.015947,                   0,             0.86922,             0.81332,             0.87315,             0.57088,            0.034183,            0.016037,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022753,            0.015057,                   0,              0.8982,             0.81953,             0.88306,             0.57793,            0.034194,            0.015316,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022394,            0.015398,                   0,             0.87164,             0.84777,              0.8846,             0.57497,            0.034366,            0.015365,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02207,            0.015194,                   0,             0.86778,             0.84549,             0.88487,             0.57708,            0.034379,            0.015523,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021718,             0.01575,                   0,             0.86875,              0.8427,             0.87521,             0.57142,            0.034169,            0.015505,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021708,            0.014858,                   0,             0.85503,             0.85414,             0.87839,             0.57239,            0.034357,            0.015512,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021929,            0.015358,                   0,             0.87905,             0.82695,             0.88038,             0.57862,             0.03484,            0.015814,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021074,             0.01479,                   0,             0.86849,             0.84896,             0.88712,             0.58237,            0.034203,            0.015388,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021857,            0.014928,                   0,             0.87914,             0.81823,             0.88463,             0.58329,            0.034668,            0.015878,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021823,            0.015303,                   0,             0.85538,             0.82613,             0.87343,             0.57474,             0.03484,             0.01631,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.021575,            0.015516,                   0,             0.86827,             0.83917,             0.88126,             0.57426,            0.034537,            0.015423,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020526,             0.01486,                   0,             0.85994,             0.85043,             0.88223,             0.57894,             0.03471,             0.01517,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02056,            0.014553,                   0,             0.84904,             0.86279,             0.88198,             0.57723,             0.03463,            0.015887,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020198,             0.01469,                   0,             0.87778,             0.82564,             0.88283,             0.57146,            0.034979,            0.016154,                   0,            0.002278,            0.002278,            0.002278
